State,Party,Status,"Committee Name","Candidate Name",City,Received,Spent,District,CMTE_ID
TN,DEM,OPEN,"JAMES MACKLER FOR US SENATE","MACKLER, JAMES",NASHVILLE,980898,967489,00,C00637850
UT,REP,OPEN,"ROMNEY FOR UTAH INC","ROMNEY, MITT WILLARD MR",OREM,4097124,2888474,00,C00670695
UT,REP,OPEN,"KENNEDY FOR US SENATE","KENNEDY, MIKE",ALPINE,742898,708823,00,C00674358
WV,REP,CHALLENGER,"JENKINS FOR SENATE","JENKINS, EVAN H",HUNTINGTON,1573189.05,2276898.35,00,C00548271
WV,REP,CHALLENGER,"MORRISEY FOR SENATE INC","MORRISEY, PATRICK MR",CHARLESTOWN,3099126,2204633,00,C00651075
WV,CON,CHALLENGER,"DON BLANKENSHIP FOR U.S. SENATE","BLANKENSHIP, DON",WILLIAMSON,4029435,3995069,00,C00662445
VA,DEM,INCUMBENT,"KAINE FOR VIRGINIA","KAINE, TIMOTHY MICHAEL",RICHMOND,13196525,10219152,00,C00495358
WA,REP,CHALLENGER,"CODAY FOR US SENATE","CODAY, ARTHUR JR MD",WOODINVILLE,20135,18905,00,C00471482
NJ,REP,CHALLENGER,"BRIAN D GOLDBERG FOR US SENATE","GOLDBERG, BRIAN DAVID MR","WEST ORANGE",10810,8701,00,C00558874
NJ,DEM,INCUMBENT,"MENENDEZ FOR SENATE","MENENDEZ, ROBERT",NEWARK,6134561,1350279,00,C00264564
NV,DEM,CHALLENGER,"BOBBY MAHENDRA FOR SENATE","MAHENDRA, SUJEET BOBBY NARENDRA","LAS VEGAS",9711,11210,00,C00608240
AL,REP,INCUMBENT,"STRANGE FOR SENATE","STRANGE, LUTHER J III",HOMEWOOD,5392899,5556686,00,C00629451
AZ,DEM,OPEN,"DEEDRA 2018 FOR US SENATE","ABBOUD, DEEDRA",SCOTTSDALE,84752,70347,00,C00637454
NE,DEM,CHALLENGER,"COMMITTEE TO ELECT FRANK B SVOBODA FOR US SENATE","SVOBODA, FRANK B",LINCOLN,50000,2853,00,C00676924
AZ,LIB,OPEN,"SARCASTIC COMMITTEE FOR DOUG MARKS","MARKS, DOUG",CHANDLER,5575,166,00,C00641316
IN,REP,CHALLENGER,"MIKE BRAUN FOR INDIANA","BRAUN, MIKE",JASPER,8451782,7380326,00,C00653147
MA,IND,CHALLENGER,"SHIVA 4 SENATE","AYYADURAI, SHIVA  DR",CAMBRIDGE,4958822,4855911,00,C00638148
MA,REP,CHALLENGER,"DIEHL FOR US SENATE","DIEHL, GEOFF",WHITMAN,1679013,1443162,00,C00637611
MA,REP,CHALLENGER,"JOHN KINGSTON FOR SENATE INC","KINGSTON, JOHN MR",WOBURN,5823983,3179313,00,C00650820
MD,DEM,CHALLENGER,"CHELSEA MANNING FOR US SENATE","MANNING, CHELSEA ELIZABETH","NORTH BETHESDA",85089,77168,00,C00666222
AL,REP,CHALLENGER,"HENRY FOR SENATE","HENRY, WILLIAM ED",HARTSELLE,6933,6933,00,C00638809
MD,REP,CHALLENGER,"SAM FADDIS FOR US SENATE","FADDIS, CHARLES S",DAVIDSONVILLE,188567,188567,00,C00633701
AZ,REP,OPEN,"SHERIFF JOE ARPAIO FOR US SENATE","ARPAIO, JOE","FOUNTAIN HILLS",1142989,851016,00,C00666206
MS,REP,CHALLENGER,BOYANTONFORSENATE,"BOYANTON, RICHARD WARREN",DIAMONDHEAD,60000,0,00,C00669887
CA,OTH,CHALLENGER,"JERRY CARROLL 'S' COMMITTEE","CARROLL, JERRY LEON",STOCKTON,140,140,00,C00277525
MN,IND,CHALLENGER,"TROOIEN FOR US SENATE","TROOIEN, JERRY","MENDOTA HEIGHTS",391226,373111,00,C00676866
WY,REP,INCUMBENT,"FRIENDS OF JOHN BARRASSO","BARRASSO, JOHN A",CASPER,5039739,2400611,00,C00436386
AL,DEM,CHALLENGER,"FRIENDS OF JASON FISHER FOR US SENATE","FISHER, JASON E",MOBILE,47769,47769,00,C00641118
IN,IND,CHALLENGER,"ALTMAN IN US SENATE","ALTMAN, NATHAN J",CARMEL,49985,46218,00,C00676007
MD,IND,CHALLENGER,"NEAL SIMON FOR U.S. SENATE","SIMON, NEAL",ROCKVILLE,1183145,522055,00,C00671073
MO,LIB,CHALLENGER,"JAPHETH CAMPBELL FOR LIBERTY COMMITTEE","CAMPBELL, JAPHETH RAY",SPRINGFIELD,1155,1119,00,C00652123
MS,DEM,CHALLENGER,"SOUTHERN PROGRESSIVES FOR J BOHREN","BOHREN, JENSEN MR",BENTON,4447,4577,00,C00648659
AZ,REP,OPEN,"DIEGEL CAMPAIGN","DIEGEL, CHRISTIAN",SCOTTSDALE,18088,9210,00,C00661306
MO,REP,CHALLENGER,"AUSTIN PETERSEN FOR US SENATE","PETERSEN, AUSTIN","KANSAS CITY",589947,564512,00,C00650556
TX,DEM,CHALLENGER,"EDWARD KIMBROUGH FOR US SENATE COMMITTEE-TEXAS","KIMBROUGH, EDWARD WAYNE","MISSOURI CITY",4619,2559,00,C00667477
UT,LIB,OPEN,"CRAIG BOWDEN FOR SENATE","BOWDEN, CRAIG","NORTH OGDEN",44654,43055,00,C00636647
MI,REP,CHALLENGER,"JOHN JAMES FOR SENATE INC","JAMES, JOHN","FARMINGTON HILLS",4206901,3337904,00,C00651208
MN,REP,CHALLENGER,"HOUSLEY FOR SENATE COMMITTEE","HOUSLEY, KARIN",STILLWATER,1811466,819578,00,C00664219
CT,REP,CHALLENGER,"COREY FOR SENATE","COREY, MATTHEW MCKINNON",MANCHESTER,31090,23115,00,C00654392
AL,REP,CHALLENGER,"BRINSON FOR SENATE","BRINSON, R RANDOLPH RANDY MD",MONTGOMERY,302340,302337,00,C00638668
MO,REP,CHALLENGER,"COURTLAND SYKES FOR SENATE","SYKES, B COURTLAND",INDEPENDENCE,34293,30921,00,C00656694
MS,DEM,CHALLENGER,"HOWARD SHERMAN FOR SENATE","SHERMAN, HOWARD",MERIDIAN,1205211,1181487,00,C00673160
NJ,REP,CHALLENGER,"BELL FOR SENATE","BELL, JEFFREY","PALISADES PARK",4830,4892,00,C00558122
NM,LIB,CHALLENGER,"AUBREY DUNN CAMPAIGN","DUNN, AUBREY",MOUNTAINAIR,31226,17290,00,C00678490
NY,REP,CHALLENGER,"HOLLAND FOR SENATE COMMITTEE","HOLLAND, JOSEPH H","NEW YORK",11100,11100,00,C00667261
VA,REP,CHALLENGER,"NICK FREITAS FOR US SENATE","FREITAS, NICHOLAS JASON",CULPEPER,605405,563220,00,C00665570
